working_radius,16.1m(over rear + 165t counterweight),16.1m(over rear),16.1m,21.3m,26.5m,31.7m,36.9m,42.1m,47.3m,52.5m,57.7m,62.9m,68.1m,73.4m,78.6m,84m
3,500,500,500,,,,,,,,,,,,,
3.5,400,400,400,262,,,,,,,,,,,,
4,325,325,325,262,248,,,,,,,,,,,
4.5,262,262,261,259,239,,,,,,,,,,,
5,261,255,245,243,229,183,,,,,,,,,,
6,231,226,216,214,208,168,145,,,,,,,,,
7,206,202,192,190,190,156,133,116,,,,,,,,
8,186,182,173,170,170,145,123,107,93,,,,,,,
9,170,162,156,153,153,134,114,100,87,73,,,,,,
10,155,145,141,138,138,124,106,94,81,69,60,,,,,
12,128,119,117,114,114,107,92,83,72,63,54,46.5,41,,,
14,107,100,99,97,97,93,80,73,63,57,49.5,43,38,33.5,,
16,,,,82,82,83,71,63,57,52,45,39,35,31,27.4,20.9
18,,,,71,71,71,65,55,50,46,41.5,36,32.5,28.8,25.8,19.5
20,,,,56,61,62,58,49.5,45,41.5,38,33,30,26.8,24.2,18.2
22,,,,,53,54,53,45,40,37.5,35,30.5,27.8,24.9,22.6,16.8
24,,,,,47,47.5,46,40.5,36.5,34,32,28.2,25.9,23.2,21.1,15.6
26,,,,,,42.5,40.5,36.5,34,30.5,28.9,25.9,24.1,21.6,19.8,14.4
28,,,,,,37.5,36,33.5,31.5,28.1,26.8,24,22.5,20.2,18.6,13.4
30,,,,,,32.5,32,31,28.9,26,24.8,22.2,20.7,18.6,17.4,12.4
32,,,,,,,28.3,28.5,26.6,24,23,20.6,19,17.3,16.3,11.4
34,,,,,,,25.3,26.6,24.5,22.2,21.4,19,17.5,16.1,15,10.2
36,,,,,,,,24.2,22.5,20.5,19.8,17.4,16.1,15,13.9,9.2
38,,,,,,,,21.7,20.3,18.9,18.3,15.8,15,13.9,12.9,8.4
40,,,,,,,,194,18,17.4,16.9,14.2,14,12.9,12,7.6
42,,,,,,,,,16.1,15.9,15.6,13.2,13,12,11.2,6.9
44,,,,,,,,,14.3,14.5,14.3,12.1,11.9,11,10.3,6.2
46,,,,,,,,,9.2,13.2,13.1,11.2,10.9,10.1,9.5,5.5
48,,,,,,,,,,11.8,11.9,10.3,9.9,9.3,8.8,4.8
50,,,,,,,,,,8.8,10.8,9.4,8.9,8.7,8.1,4.2
52,,,,,,,,,,,9.6,8.5,8.2,8.1,7.6,3.8
54,,,,,,,,,,,8.5,7.7,7.6,7.5,7.2,3.5
56,,,,,,,,,,,5.2,6.9,7,6.9,6.7,3.2
58,,,,,,,,,,,,6.2,6.4,6.4,6.3,2.8
60,,,,,,,,,,,,5.4,5.8,5.8,5.9,2.5
62,,,,,,,,,,,,,5.3,5.3,5.4,2.2
64,,,,,,,,,,,,,4.7,4.8,5,1.9
66,,,,,,,,,,,,,3.2,4.3,4.5,
68,,,,,,,,,,,,,,3.8,4.1,
70,,,,,,,,,,,,,,3.4,3.7,
72,,,,,,,,,,,,,,,3.3,
74,,,,,,,,,,,,,,,2.9,
